rank,name,lat,lon,category,category_name,review_count,review_rating,thumbnail,address
1,쟈스민,37.29922866821289,126.97299194335938,category_all,베트남음식,98.0,4.93,http://t1.kakaocdn.net/fiy_reboot/place/B2158DD55E8849E7B0C147B2962B4103,경기도 수원시 장안구 율전동
2,오스테리아우노,37.298065185546875,126.96919250488281,category_all,이탈리안,60.0,4.16,http://t1.daumcdn.net/local/kakaomapPhoto/review/355ece9d025f2963b26ffc321191c322c644b1a8?original,경기도 수원시 장안구 율전동
3,카마타케제면소 성균관대역사점,37.300148010253906,126.97225952148438,category_all,"돈까스,우동",80.0,4.22,http://t1.daumcdn.net/place/21D4D3ECE8724317B3AF3BA7BDB34E3C,경기도 수원시 장안구 율전동
4,보영만두 성대직영점,37.29836654663086,126.9704818725586,category_all,분식,46.0,3.58,http://t1.daumcdn.net/place/A03B56ECF77C4AD5BBDE8BC4489CF991,경기도 수원시 장안구 율전동
5,포동이네 성대점,37.297950744628906,126.968994140625,category_all,"초밥,롤",27.0,4.03,http://t1.daumcdn.net/place/CB5EE781FF29413AAE6176774F7DF438,경기도 수원시 장안구 율전동
6,플렁드,37.29758071899414,126.96846771240234,category_all,"제과,베이커리",46.0,4.28,http://t1.daumcdn.net/place/96467E56CC8043B0AAB391D451106705,경기도 수원시 장안구 율전동
7,나츠비,37.297122955322266,126.9715805053711,category_all,일식,94.0,4.81,http://t1.kakaocdn.net/mystore/8A9AD100FAFD4EBB84B8CAB033679E78,경기도 수원시 장안구 율전동
8,청년밥상,37.29863357543945,126.97274017333984,category_all,한식,44.0,3.43,http://t1.kakaocdn.net/fiy_reboot/place/222CAF9577C44BD385975812F5A89592,경기도 수원시 장안구 율전동
9,한창희천하일면 수원성대점,37.29779815673828,126.9702377319336,category_all,국수,62.0,4.67,http://t1.daumcdn.net/place/45BFC3976FB14E1F8FC0B8766AC631CE,경기도 수원시 장안구 율전동
10,본찌돈까스 성대점,37.29719161987305,126.97151947021484,category_all,"돈까스,우동",66.0,4.5,http://t1.daumcdn.net/place/721C3252A49B42E9A286C877E0A2A478,경기도 수원시 장안구 율전동
11,자명문,37.299259185791016,126.96996307373047,category_all,카페,39.0,4.53,http://t1.daumcdn.net/place/4E44E7B37C3B4695AC6B1F8955EA178D,경기도 수원시 장안구 율전동
12,텐푸라바사바사,37.2969970703125,126.97095489501953,category_all,일식,24.0,4.45,http://t1.daumcdn.net/place/2DD560EEAE2E45019B2A2A59FFD1DBA6,경기도 수원시 장안구 율전동
13,미가라멘 성대본점,37.297733306884766,126.97183990478516,category_all,일본식라면,45.0,3.62,http://t1.daumcdn.net/place/9D3164968B114769B65B0C1F268CDD6D,경기도 수원시 장안구 율전동
14,봉수육,37.29895782470703,126.96993255615234,category_all,"족발,보쌈",82.0,4.08,http://t1.daumcdn.net/place/CE93EDC288154EA58AC66DFD1515C2A8,경기도 수원시 장안구 율전동
15,지장수본가전주콩나물국밥 2호점,37.298336029052734,126.969482421875,category_all,국밥,20.0,4.6,http://t1.daumcdn.net/place/C89C6F3D5D874E678E29A150B82C7F57,경기도 수원시 장안구 율전동
16,경복궁개성손만두메밀소바전문점 율전점,37.30208969116211,126.9725570678711,category_all,"찌개,전골",21.0,3.28,http://t1.daumcdn.net/place/522427E362104BBB83D390FCBC2599EA,경기도 수원시 장안구 율전동
17,담은샤브칼국수 직영1호점,37.29724884033203,126.969970703125,category_all,칼국수,10.0,4.19,http://t1.daumcdn.net/place/530176B4154C4AB3BA753B8B9EB57FF0,경기도 수원시 장안구 율전동
18,카페다움,37.29818344116211,126.97216796875,category_all,카페,7.0,4.85,http://t1.daumcdn.net/place/D5CAE18B58D24C9E882F687679D0C5F0,경기도 수원시 장안구 율전동
19,김엄마밥집,37.30247497558594,126.96985626220703,category_all,분식,16.0,3.62,http://t1.daumcdn.net/place/759F789FE2D34065A288F0A1E2CF76F9,경기도 수원시 장안구 율전동
20,홍성마라미방 성균관대2호점,37.29854965209961,126.96956634521484,category_all,중국요리,6.0,3.83,http://t1.daumcdn.net/local/kakaomapPhoto/review/bfaace4cb20d4ff60fcbc107d5f4ec63e9feadf0?original,경기도 수원시 장안구 율전동
21,소문난김밥,37.29900360107422,126.96932983398438,category_all,분식,14.0,3.85,http://t1.daumcdn.net/place/568C8CC129E343578A5757795032DF3C,경기도 수원시 장안구 율전동
22,예감쪽갈비 수원성대점,37.29758071899414,126.9690170288086,category_all,갈비,,,http://t1.kakaocdn.net/fiy_reboot/place/EA0FF88414B74AA0ABC3FAC5DA818048,경기도 수원시 장안구 율전동
23,희망김밥,37.298030853271484,126.96776580810547,category_all,분식,4.0,3.75,,경기도 수원시 장안구 율전동
24,피자헐,37.298583984375,126.96878814697266,category_all,음식점,6.0,5.0,,경기도 수원시 장안구 율전동
25,아늑,37.29758834838867,126.97200775146484,category_all,이탈리안,62.0,4.04,http://t1.kakaocdn.net/mystore/C8ABF5FD080C4FB0A88309F414FD0B40,경기도 수원시 장안구 율전동
26,일성,37.29753494262695,126.96867370605469,category_all,일식,23.0,4.08,http://t1.kakaocdn.net/mystore/BDE547B5516541EFA19EDB6DE05E8EB3,경기도 수원시 장안구 율전동
27,경기수산직판장 성균관대점,37.298095703125,126.96868133544922,category_all,회,35.0,4.62,http://t1.daumcdn.net/place/CD42181F66724559A6AA0F5CEAA68F0B,경기도 수원시 장안구 율전동
28,힌카쿠,37.2979850769043,126.97219848632812,category_all,일본식라면,40.0,3.17,http://t1.kakaocdn.net/fiy_reboot/place/493F065605A847F799B9A8036DFE88EE,경기도 수원시 장안구 율전동
29,벨라튀니지,37.297218322753906,126.97135925292969,category_all,퓨전요리,54.0,4.57,http://t1.daumcdn.net/place/B2D519478AF943F1A893A25F64577173,경기도 수원시 장안구 율전동
30,키와마루아지 성균관대점,37.29696273803711,126.96871185302734,category_all,일본식라면,72.0,3.16,http://t1.daumcdn.net/localfiy/D615FA83E6AE4DB59E9DB943E1B49CF7,경기도 수원시 장안구 율전동
31,오르카커피룸,37.29973602294922,126.97071075439453,category_all,커피전문점,33.0,4.72,http://t1.kakaocdn.net/mystore/CEFC2FAAF85240A3B3C1A95A264EFA80,경기도 수원시 장안구 율전동
32,하우짓 블랙,37.29850387573242,126.972412109375,category_all,커피전문점,16.0,4.68,http://t1.kakaocdn.net/mystore/3AE2601611D043AC84C30A921900734A,경기도 수원시 장안구 율전동
33,정원,37.29860305786133,126.96931457519531,category_all,중국요리,27.0,4.44,http://t1.kakaocdn.net/mystore/4663DE94511648C8A1BE13F30BEB6B97,경기도 수원시 장안구 율전동
34,몽키키친,37.298126220703125,126.9736099243164,category_all,양식,17.0,4.23,http://t1.kakaocdn.net/fiy_reboot/place/28B6BCD3B8914A87A144B5702AD49AE2,경기도 수원시 장안구 율전동
35,고기굽는교실 율전3반,37.29804992675781,126.96932220458984,category_all,"육류,고기",50.0,4.54,http://t1.kakaocdn.net/mystore/638ADC08F77645BF83B7E41E6F895360,경기도 수원시 장안구 율전동
36,이라면 본점,37.29705047607422,126.97145080566406,category_all,분식,31.0,3.38,http://t1.daumcdn.net/place/3E81498A91D34D58B08B7AA29EFBC4C8,경기도 수원시 장안구 율전동
37,휘미관,37.296852111816406,126.96847534179688,category_all,한식,18.0,4.16,http://t1.daumcdn.net/place/AEFD73B557F54B5EB6A4D12B171735C9,경기도 수원시 장안구 율전동
38,루미네숯불닭갈비,37.2991828918457,126.97101593017578,category_all,닭요리,3.0,4.66,http://t1.daumcdn.net/place/B0D63E79FBCA4E94ABBEA5E875F32280,경기도 수원시 장안구 율전동
39,최가네,37.2979736328125,126.97313690185547,category_all,한식,10.0,3.9,http://t1.daumcdn.net/place/F0BD8B86C2654CBBA15B7FC40E31E9DD,경기도 수원시 장안구 율전동
40,닥치고삼겹살 수원점,37.30109786987305,126.97219848632812,category_all,삼겹살,17.0,4.76,http://t1.daumcdn.net/place/34E18597370F4C83B8D4196FF7FB4830,경기도 수원시 장안구 율전동
41,오늘우동 수원성대점,37.29810333251953,126.97248840332031,category_all,"돈까스,우동",7.0,4.14,http://t1.daumcdn.net/local/kakaomapPhoto/review/2152d3a73dc02e4b5bb8710ddf3bcd14d8f4bc6f?original,경기도 수원시 장안구 율전동
42,자연김밥,37.29738998413086,126.97052764892578,category_all,분식,12.0,4.25,http://t1.kakaocdn.net/fiy_reboot/place/0AB4FC7F27B44B3FA5151FE7E4B745DD,경기도 수원시 장안구 율전동
43,춘천닭갈비칡냉면,37.296966552734375,126.9698715209961,category_all,닭요리,16.0,3.06,http://t1.daumcdn.net/place/DFBC628C9A4D4105B79D400DEACD5462,경기도 수원시 장안구 율전동
44,히닭발,37.29789733886719,126.96949768066406,category_all,닭요리,13.0,4.38,http://t1.daumcdn.net/localfiy/59B863E54AEC47D7B9179EDD68D491C5,경기도 수원시 장안구 율전동
45,한아스콘,37.29847717285156,126.96825408935547,category_all,"제과,베이커리",11.0,4.36,http://t1.daumcdn.net/place/4EFFE618D0CA412887DAB3F8327E8FB4,경기도 수원시 장안구 율전동
46,부산산꼼장어,37.30157470703125,126.96975708007812,category_all,장어,12.0,4.16,http://t1.kakaocdn.net/fiy_reboot/place/37A09F68DC4D41C9B21AB90C48C37FE5,경기도 수원시 장안구 율전동
47,북한산조개구이,37.299049377441406,126.97132873535156,category_all,조개,6.0,4.16,http://t1.daumcdn.net/cfile/140FAE425015E1AB01,경기도 수원시 장안구 율전동
1,청년밥상,37.29863357543945,126.97274017333984,category_korean,한식,44.0,3.43,http://t1.kakaocdn.net/fiy_reboot/place/222CAF9577C44BD385975812F5A89592,경기도 수원시 장안구 율전동
2,한창희천하일면 수원성대점,37.29779815673828,126.9702377319336,category_korean,국수,62.0,4.67,http://t1.daumcdn.net/place/45BFC3976FB14E1F8FC0B8766AC631CE,경기도 수원시 장안구 율전동
3,봉수육,37.29895782470703,126.96993255615234,category_korean,"족발,보쌈",82.0,4.08,http://t1.daumcdn.net/place/CE93EDC288154EA58AC66DFD1515C2A8,경기도 수원시 장안구 율전동
4,지장수본가전주콩나물국밥 2호점,37.298336029052734,126.969482421875,category_korean,국밥,20.0,4.6,http://t1.daumcdn.net/place/C89C6F3D5D874E678E29A150B82C7F57,경기도 수원시 장안구 율전동
5,경복궁개성손만두메밀소바전문점 율전점,37.30208969116211,126.9725570678711,category_korean,"찌개,전골",21.0,3.28,http://t1.daumcdn.net/place/522427E362104BBB83D390FCBC2599EA,경기도 수원시 장안구 율전동
6,담은샤브칼국수 직영1호점,37.29724884033203,126.969970703125,category_korean,칼국수,10.0,4.19,http://t1.daumcdn.net/place/530176B4154C4AB3BA753B8B9EB57FF0,경기도 수원시 장안구 율전동
7,예감쪽갈비 수원성대점,37.29758071899414,126.9690170288086,category_korean,갈비,,,http://t1.kakaocdn.net/fiy_reboot/place/EA0FF88414B74AA0ABC3FAC5DA818048,경기도 수원시 장안구 율전동
8,경기수산직판장 성균관대점,37.298095703125,126.96868133544922,category_korean,회,35.0,4.62,http://t1.daumcdn.net/place/CD42181F66724559A6AA0F5CEAA68F0B,경기도 수원시 장안구 율전동
9,고기굽는교실 율전3반,37.29804992675781,126.96932220458984,category_korean,"육류,고기",50.0,4.54,http://t1.kakaocdn.net/mystore/638ADC08F77645BF83B7E41E6F895360,경기도 수원시 장안구 율전동
10,휘미관,37.296852111816406,126.96847534179688,category_korean,한식,18.0,4.16,http://t1.daumcdn.net/place/AEFD73B557F54B5EB6A4D12B171735C9,경기도 수원시 장안구 율전동
11,루미네숯불닭갈비,37.2991828918457,126.97101593017578,category_korean,닭요리,3.0,4.66,http://t1.daumcdn.net/place/B0D63E79FBCA4E94ABBEA5E875F32280,경기도 수원시 장안구 율전동
12,최가네,37.2979736328125,126.97313690185547,category_korean,한식,10.0,3.9,http://t1.daumcdn.net/place/F0BD8B86C2654CBBA15B7FC40E31E9DD,경기도 수원시 장안구 율전동
13,닥치고삼겹살 수원점,37.30109786987305,126.97219848632812,category_korean,삼겹살,17.0,4.76,http://t1.daumcdn.net/place/34E18597370F4C83B8D4196FF7FB4830,경기도 수원시 장안구 율전동
14,춘천닭갈비칡냉면,37.296966552734375,126.9698715209961,category_korean,닭요리,16.0,3.06,http://t1.daumcdn.net/place/DFBC628C9A4D4105B79D400DEACD5462,경기도 수원시 장안구 율전동
15,히닭발,37.29789733886719,126.96949768066406,category_korean,닭요리,13.0,4.38,http://t1.daumcdn.net/localfiy/59B863E54AEC47D7B9179EDD68D491C5,경기도 수원시 장안구 율전동
16,부산산꼼장어,37.30157470703125,126.96975708007812,category_korean,장어,12.0,4.16,http://t1.kakaocdn.net/fiy_reboot/place/37A09F68DC4D41C9B21AB90C48C37FE5,경기도 수원시 장안구 율전동
17,북한산조개구이,37.299049377441406,126.97132873535156,category_korean,조개,6.0,4.16,http://t1.daumcdn.net/cfile/140FAE425015E1AB01,경기도 수원시 장안구 율전동
18,율천회관,37.2978401184082,126.97297668457031,category_korean,한식,24.0,4.45,http://t1.daumcdn.net/place/298A143F5A1B4D48992EB0F9E14B996C,경기도 수원시 장안구 율전동
19,서울24시감자탕해장국,37.301509857177734,126.9725570678711,category_korean,감자탕,42.0,3.52,http://t1.daumcdn.net/place/5657C3A0472948FD9EFAD14B178EE243,경기도 수원시 장안구 율전동
20,백령도생바지락칼국수,37.29758834838867,126.97039794921875,category_korean,칼국수,43.0,4.39,http://t1.daumcdn.net/local/kakaomapPhoto/review/3a5408669373e36db8063921ec1ed4621888743d?original,경기도 수원시 장안구 율전동
21,영통찌개지존 성대점,37.29768371582031,126.97039794921875,category_korean,"찌개,전골",19.0,4.15,http://t1.daumcdn.net/place/691A7DFA219D4D028454FEF4EB42C7D6,경기도 수원시 장안구 율전동
22,동네빈대떡 성대직영점,37.29700469970703,126.9685287475586,category_korean,한식,17.0,4.35,http://t1.daumcdn.net/place/D11DBF505A9543DF8A0D3C58397BBACB,경기도 수원시 장안구 율전동
23,부자국밥,37.297752380371094,126.9702377319336,category_korean,국밥,14.0,4.42,http://t1.daumcdn.net/place/B2ECB850526E4C72AA3BA49EFA0BEFA5,경기도 수원시 장안구 율전동
24,성대족발보쌈,37.29697799682617,126.96919250488281,category_korean,"족발,보쌈",29.0,4.79,http://t1.daumcdn.net/place/59E945DA246C44E0ADEEF5E64040708D,경기도 수원시 장안구 율전동
25,정통집 수원성대점,37.29684066772461,126.96980285644531,category_korean,"육류,고기",12.0,3.33,http://t1.daumcdn.net/place/E3516CF65FA1408F82B4BED69B2FE99F,경기도 수원시 장안구 율전동
